question,answer
What was the position of the Solicitor General regarding the investigation?,The Solicitor General agreed that a fair investigation was necessary and stated that the respondents also desired that the offenders be brought to justice.
How did the court address the security concerns for the victim's family and witnesses?,The court directed that the security for the victim's family and witnesses be provided by the CRPF within a week from the date of the order.
What was the initial action taken by the Allahabad High Court regarding this case?,"The Allahabad High Court, Lucknow Bench, took suo moto cognizance of the incident and passed a detailed order on 1st October 2020, registering PIL(C) No.16150/2020."
What did the court decide regarding the monitoring of the investigation?,The court decided that the Allahabad High Court should continue to monitor the investigation since it had already taken cognizance of the matter.
What specific directives were given regarding the CBI investigation?,The CBI was directed to report to the Allahabad High Court as per the court's orders from time to time.
What did the court say about the possible transfer of the trial to Delhi?,"The court stated that the need for transferring the trial to Delhi would arise after the investigation is complete, and kept the issue open for future consideration."
What concern did Ms. Indira Jaising raise regarding the protection provided by the State Police?,Ms. Indira Jaising contended that the protection provided by the State Police would not be appropriate and requested that the CRPF provide the security instead.
What instructions were given regarding the digital records of the case?,The High Court was requested to delete the names and relationships of the victim's family members from the order and to morph the same in the digital records to avoid future disclosures.
What role was given to Ms. Seema Kushwaha and Mr. Raj Ratan in this case?,Ms. Seema Kushwaha and Mr. Raj Ratan were engaged as private advocates on behalf of the victim's family to represent their interests.
What was the primary legal issue in the case of Tabrez Khan @ Guddu & Ors. vs. The State of Uttar Pradesh & Anr.?,The primary legal issue was whether the High Court was justified in rejecting the appellants' application to quash the complaint and summoning order issued against them under Section 482 of the Cr.P.C.
What allegations were made by Respondent No. 2 against the appellants?,"Respondent No. 2 alleged that the appellants committed offences under Sections 498A, 323, 504, 506 of the IPC and Section 3/4 of the DP Act, relating to cruelty, physical assault, and intimidation."
What was the relationship between the appellants and Respondent No. 2?,"Appellant No. 3 is the mother of Mohammad Pervez, the husband of Respondent No. 2, while Appellant Nos. 1 and 2 are the brothers of Mohammad Pervez and brothers-in-law of Respondent No. 2."
What did the High Court decide regarding the application filed under Section 482 of the Cr.P.C.?,"The High Court declined to quash the Complaint Case No. 3065 of 2016 and the summoning order dated 10.03.2017 issued by the ACJM, Court No. 8, Varanasi."
What was the Supreme Court's decision on the appellants' appeal?,"The Supreme Court allowed the appeal, set aside the High Court's order, and quashed the complaint filed by Respondent No. 2 against the appellants."
On what grounds did the Supreme Court quash the complaint against the appellants?,The Supreme Court quashed the complaint on the grounds that the averments made in the complaint did not constitute any prima facie case against the appellants.
"What did the Supreme Court direct regarding the case against Mohammad Pervez Khan, the husband of Respondent No. 2?","The Supreme Court directed that the complaint against Mohammad Pervez Khan should be decided on its merit by the concerned Magistrate, unaffected by the Court's observations in this case."
